answer,stims,category
スポーツ,"['バレーボール', '水泳', 'マラソン', '体操', 'サッカー']",仲間
薬,"['鎮痛剤', '湿布', 'カプセル', '軟膏', '錠剤']",仲間
楽器,"['ピアノ', 'バイオリン', '太鼓', '琴', 'フルート']",仲間
建物,"['ビル', '一戸建て', 'マンション', '病院', '教会']",仲間
乗り物,"['車', '電車', '飛行機', 'バス', '船']",仲間
食器,"['皿', '茶碗', '湯呑', '箸', 'フォーク']",仲間
木,"['杉', 'けやき', '松', 'ひのき', '紅葉']",仲間
家具,"['机', 'タンス', '椅子', '食器棚', 'ベッド']",仲間
魚,"['トビウオ', '金魚', 'うなぎ', 'メダカ', 'あじ']",仲間
家電,"['洗濯機', 'テレビ', '冷蔵庫', '電子レンジ', '掃除機']",仲間
楽器,"['ギター', 'ドラム', 'クラリネット', 'チェロ', 'リコーダー']",仲間
玩具,"['積み木', 'トランプ', '人形', 'プラモデル', 'ラジコン']",仲間
天気,"['晴', '雪', '雨', '台風', 'くもり']",仲間
花,"['バラ', 'たんぽぽ', '菊', 'チューリップ', '蘭']",仲間
アクセサリー,"['イヤリング', 'ネックレス', 'ピアス', '指輪', 'ブレスレット']",仲間
宗教,"['仏教', 'キリスト教', 'ヒンズー教', 'イスラム教', 'ユダヤ教']",仲間
職業,"['会社員', '教師', '医師', '運転士', '店員']",仲間
虫,"['かぶとむし', '蟻', 'スズムシ', 'カマキリ', 'トンボ']",仲間
感情,"['笑う', '泣く', '怒る', '悲しみ', '喜ぶ']",仲間
図形,"['円', '台形', '正方形', '楕円', '三角形']",仲間
昔話,"['桃太郎', '浦島太郎', 'かぐや姫', '一寸法師', 'シンデレラ']",仲間
挨拶,"['おはよう', 'こんにちは', 'こんばんは', 'ありがとう', 'さようなら']",仲間
首都,"['東京', '北京', 'モスクワ', 'ワシントン', 'カイロ']",仲間
動物,"['犬', '猫', '豚', 'ライオン', '虎']",仲間
鳥,"['鳩', 'うぐいす', '鷲', '白鳥', 'スズメ']",仲間
虫,"['蝶', 'クワガタ', 'セミ', 'バッタ', 'コオロギ']",仲間
野菜,"['ピーマン', 'たけのこ', 'ごぼう', 'サツマイモ', 'トマト']",仲間
果物,"['柿', 'さくらんぼ', 'なし', 'マンゴー', 'マスカット']",仲間
お酒,"['ビール', 'ワイン', '日本酒', '焼酎', 'カクテル']",仲間
